idx,date,odometr,diff,state,driverId
,2026-04-01T10:57:07.064Z,830427,,GA,96652
,2026-04-01T10:59:08.071Z,830428,1,GA,96652
,2026-04-01T11:00:11.067Z,539020,-291408,GA,96652
,2026-04-01T11:01:14.072Z,539020,0,GA,96652
,2026-04-01T11:02:17.064Z,539020,0,GA,96652
,2026-04-01T11:03:17.065Z,539020,0,GA,96652
,2026-04-01T11:04:17.065Z,539020,0,GA,96652
,2026-04-01T11:05:17.070Z,539020,0,GA,96652
,2026-04-01T11:06:20.079Z,539020,0,GA,96652
,2026-04-01T11:07:21.083Z,539020,0,GA,96652
,2026-04-01T11:08:23.061Z,539020,0,GA,96652
,2026-04-01T11:09:23.071Z,539020,0,GA,96652
,2026-04-01T11:10:26.058Z,539020,0,GA,96652
,2026-04-01T11:11:26.066Z,539020,0,GA,96652
,2026-04-01T11:12:27.070Z,539020,0,GA,96652
,2026-04-01T11:14:30.083Z,539020,0,GA,96652
,2026-04-01T11:15:32.064Z,539020,0,GA,96652
,2026-04-01T11:16:32.065Z,539020,0,GA,96652
,2026-04-01T11:17:35.067Z,539020,0,GA,96652
,2026-04-01T11:18:38.068Z,539020,0,GA,96652
,2026-04-01T11:19:39.076Z,539020,0,GA,96652
,2026-04-01T11:20:40.079Z,701949,162929,GA,96652
,2026-04-01T11:21:42.057Z,97306,-604643,GA,96652
,2026-04-01T11:22:44.071Z,830447,733141,GA,96652
,2026-04-01T11:23:45.072Z,830447,0,GA,96652
,2026-04-01T11:24:48.069Z,830448,1,GA,96652
,2026-04-01T11:25:48.075Z,45182,-785266,GA,96652
,2026-04-01T11:26:51.068Z,830450,785268,GA,96652
,2026-04-01T11:27:52.061Z,830451,1,GA,96652
,2026-04-01T11:28:56.073Z,830451,0,GA,96652
,2026-04-01T11:29:57.071Z,295379,-535072,GA,96652
,2026-04-01T11:31:00.069Z,830452,535073,GA,96652
,2026-04-01T11:35:51.066Z,462177,-368275,GA,96652
,2026-04-01T11:36:54.065Z,830453,368276,GA,96652
,2026-04-01T11:37:56.069Z,830454,1,GA,96652
,2026-04-01T11:38:58.078Z,830454,0,GA,96652
,2026-04-01T11:40:10.082Z,830455,1,GA,96652
,2026-04-01T11:42:15.070Z,830455,0,GA,96652
,2026-04-01T11:44:18.065Z,830456,1,GA,96652
,2026-04-01T11:47:58.068Z,830456,0,GA,96652
,2026-04-01T13:18:55.109Z,830458,2,GA,96652
,2026-04-01T13:23:30.106Z,830458,0,GA,96652
,2026-04-01T13:24:31.078Z,830458,0,GA,96652
,2026-04-01T13:26:34.075Z,830459,1,GA,96652
,2026-04-01T13:27:37.066Z,830460,1,GA,96652
,2026-04-01T13:30:05.095Z,830461,1,GA,96652
,2026-04-01T13:31:08.076Z,830461,0,GA,96652
,2026-04-01T13:33:13.060Z,830462,1,GA,96652
,2026-04-01T13:34:16.061Z,830463,1,GA,96652
,2026-04-01T13:35:16.063Z,830464,1,GA,96652
,2026-04-01T13:36:16.072Z,830465,1,GA,96652
,2026-04-01T13:37:16.080Z,830466,1,GA,96652
,2026-04-01T13:38:16.075Z,830467,1,GA,96652
,2026-04-01T13:39:16.073Z,830468,1,GA,96652
,2026-04-01T13:40:19.072Z,830469,1,GA,96652
,2026-04-01T13:41:19.084Z,830470,1,GA,96652
,2026-04-01T13:42:22.069Z,830472,2,GA,96652
,2026-04-01T13:43:25.083Z,830473,1,GA,96652
,2026-04-01T13:44:28.070Z,830474,1,GA,96652
,2026-04-01T13:45:31.070Z,830475,1,GA,96652
,2026-04-01T13:46:31.074Z,830476,1,GA,96652
,2026-04-01T13:47:34.067Z,830477,1,GA,96652
,2026-04-01T13:48:34.070Z,830478,1,GA,96652
,2026-04-01T13:49:37.061Z,830480,2,GA,96652
,2026-04-01T13:50:37.068Z,830481,1,GA,96652
,2026-04-01T13:51:37.074Z,830482,1,GA,96652
,2026-04-01T13:52:40.066Z,830483,1,GA,96652
,2026-04-01T13:53:40.072Z,830484,1,GA,96652
,2026-04-01T13:54:43.079Z,830486,2,GA,96652
,2026-04-01T13:55:46.097Z,830487,1,GA,96652
,2026-04-01T13:56:46.080Z,830488,1,GA,96652
,2026-04-01T13:57:49.070Z,830489,1,GA,96652
,2026-04-01T13:58:52.073Z,830490,1,GA,96652
,2026-04-01T13:59:52.078Z,830492,2,GA,96652
,2026-04-01T14:00:55.079Z,830493,1,GA,96652
,2026-04-01T14:02:58.069Z,830495,2,GA,96652
,2026-04-01T14:04:01.070Z,830496,1,GA,96652
,2026-04-01T14:05:01.069Z,830498,2,GA,96652
,2026-04-01T14:06:04.071Z,830499,1,GA,96652
,2026-04-01T14:07:04.066Z,830500,1,GA,96652
,2026-04-01T14:09:10.068Z,830502,2,GA,96652
,2026-04-01T14:10:11.082Z,830504,2,GA,96652
,2026-04-01T14:11:13.066Z,830505,1,GA,96652
,2026-04-01T14:12:13.070Z,830506,1,GA,96652
,2026-04-01T14:13:16.070Z,830507,1,GA,96652
,2026-04-01T14:14:19.067Z,830508,1,GA,96652
,2026-04-01T14:15:19.068Z,830509,1,GA,96652
,2026-04-01T14:16:19.068Z,830511,2,GA,96652
,2026-04-01T14:17:22.069Z,830512,1,GA,96652
,2026-04-01T14:18:25.081Z,830513,1,GA,96652
,2026-04-01T14:19:28.077Z,830514,1,GA,96652
,2026-04-01T14:20:28.078Z,830516,2,GA,96652
,2026-04-01T14:21:31.061Z,830517,1,GA,96652
