idx,date,odometr,diff,state,driverId
,2026-04-01T07:36:35.125Z,511899,,UT,93451
,2026-04-01T07:37:35.081Z,511900,1,UT,93451
,2026-04-01T07:39:41.084Z,511902,2,UT,93451
,2026-04-01T07:40:44.086Z,511903,1,UT,93451
,2026-04-01T07:41:47.085Z,511904,1,UT,93451
,2026-04-01T07:42:50.081Z,511906,2,UT,93451
,2026-04-01T07:43:50.082Z,511907,1,UT,93451
,2026-04-01T07:44:50.082Z,511908,1,UT,93451
,2026-04-01T07:45:50.083Z,511909,1,UT,93451
,2026-04-01T07:46:50.087Z,511910,1,UT,93451
,2026-04-01T07:47:53.092Z,511911,1,UT,93451
,2026-04-01T07:48:56.084Z,511913,2,UT,93451
,2026-04-01T07:49:56.094Z,511914,1,UT,93451
,2026-04-01T07:50:59.079Z,511915,1,UT,93451
,2026-04-01T07:51:59.082Z,511916,1,UT,93451
,2026-04-01T07:52:59.088Z,511917,1,UT,93451
,2026-04-01T07:54:02.072Z,511919,2,UT,93451
,2026-04-01T07:55:02.076Z,511920,1,UT,93451
,2026-04-01T07:56:05.082Z,511920,0,UT,93451
,2026-04-01T07:57:05.080Z,511921,1,UT,93451
,2026-04-01T07:58:05.082Z,511922,1,UT,93451
,2026-04-01T07:59:08.048Z,511923,1,UT,93451
,2026-04-01T08:00:08.061Z,511924,1,UT,93451
,2026-04-01T08:01:11.072Z,511925,1,UT,93451
,2026-04-01T08:02:14.069Z,511926,1,UT,93451
,2026-04-01T08:03:14.071Z,511926,0,UT,93451
,2026-04-01T08:04:14.078Z,511927,1,UT,93451
,2026-04-01T08:05:17.072Z,511928,1,UT,93451
,2026-04-01T08:06:20.076Z,511930,2,UT,93451
,2026-04-01T08:07:23.080Z,511931,1,UT,93451
,2026-04-01T08:08:23.082Z,511932,1,UT,93451
,2026-04-01T08:09:23.083Z,511933,1,UT,93451
,2026-04-01T08:10:23.086Z,511934,1,UT,93451
,2026-04-01T08:11:26.079Z,511935,1,UT,93451
,2026-04-01T08:12:26.080Z,511936,1,UT,93451
,2026-04-01T08:13:29.077Z,511937,1,UT,93451
,2026-04-01T08:14:32.076Z,511938,1,UT,93451
,2026-04-01T08:15:35.079Z,511939,1,UT,93451
,2026-04-01T08:16:38.048Z,511940,1,UT,93451
,2026-04-01T08:17:41.076Z,511942,2,UT,93451
,2026-04-01T08:18:44.079Z,511943,1,UT,93451
,2026-04-01T08:19:47.080Z,511944,1,UT,93451
,2026-04-01T08:21:53.079Z,511946,2,UT,93451
,2026-04-01T08:22:53.085Z,511948,2,UT,93451
,2026-04-01T08:23:53.086Z,511949,1,UT,93451
,2026-04-01T08:26:59.077Z,511952,3,UT,93451
